q1,q2,q3,q4,q1,q2,q3,q4,q1,q2,q3,q4,q1,q2,q3,dosha
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vata
0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,vata
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,vata
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,vata
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,vata
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,pitta
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,pitta
1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,pitta
1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,pitta
1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,pitta
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,kapha
2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,kapha
2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,kapha
2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,kapha
2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,kapha
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,balanced
3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,balanced
3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,balanced
3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,balanced
3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,balanced
0,1,2,3,1,0,2,3,0,1,2,3,0,1,2,vata
1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,pitta
2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,kapha
3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,balanced
0,0,1,2,0,1,2,0,1,2,0,1,2,0,1,vata
1,1,2,0,1,2,0,1,2,0,1,2,0,1,2,pitta
2,2,0,1,2,0,1,2,0,1,2,0,1,2,0,kapha
3,3,1,2,3,1,2,3,1,2,3,1,2,3,1,balanced
0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,vata
1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,pitta
2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,kapha
3,2,3,3,2,3,2,3,2,3,2,3,2,3,2,balanced
